Game,Date,Review,Hours Played,Recommendation,Helpful Votes,Processed_Review
730,2016-10-19,Where can I get the English version ?,2711.8,Recommended,7335,get english version
730,2020-11-02,"The time I spent playing this game could've been spent... ...studying ...applying for jobs ...making friends irl ...getting a wife ...spending time with my family ...working out ...becoming a better man in general  From the time I spent in this game, I got... ...an extremely racist and homophobic vocabulary ...free Russian lessons ...anger management issues ...borderline autistic tendencies ...sleep deprivation  10/10 would never uninstall this game and correct my life  P.S. PLEASE for the love of all that is holy, practice in Deathmatch and Casual as well as perfect your cross-hair and mouse sensitivity before you jump into competitive. People will thank you for it.",1900.8,Recommended,2134,time spend play game spent study apply job make friend irl get wife spending time family work become good man general time spent game get extremely racist homophobic vocabulary free russian lesson anger management issue borderline autistic tendency sleep deprivation never uninstall game correct life please love holy practice deathmatch casual well perfect cross hair mouse sensitivity jump competitive people thank
730,2019-11-04,Underage Gambling,8154.3,Not Recommended,1806,underage gamble
730,2023-07-15,>see a guy >hit every shot >run out of bullets >he turns around >kills me in one shot >damage dealt: 98 in 7 >exit cs:go  10/10,11.9,Recommended,905,see guy hit every shot run bullet turn around kill one shot damage deal exit cs cs
730,2023-08-14,>aim at corner >wait for enemy >turn away for 0.00001 seconds >he comes >kills me in one shot >exit cs:go  5 Stars Rating,172.1,Recommended,918,aim corner wait enemy turn away second come kill one shot exit cs cs star rating
730,2017-01-05,is game,9383.9,Recommended,1055,game
730,2022-01-20,>see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10  ~Zi(K)e,1691.2,Recommended,874,see guy shoot miss every shot turn around kill one shot exit cs cs zi
730,2018-07-15,"ɢʀᴇᴀᴛ ɢᴀᴍᴇ, ʀᴜɪɴᴇᴅ ʙʏ ᴄʜᴇᴀᴛᴇʀꜱ",48524.2,Not Recommended,3115,ɢʀᴇᴀᴛ ɢᴀᴍᴇ ʀᴜɪɴᴇᴅ ʙʏ ᴄʜᴇᴀᴛᴇʀꜱ
730,2023-09-20,Met lots of gifted individuals that can look at the ground while spinning and still click heads. Very impressive!,13.0,Recommended,7638,meet lot gifted individual look ground spin still click head impressive
730,2021-02-11,"Not only you can shoot chickens for target practice, but also you can press your use key (usually ""E"") on any chicken and it will follow you.",7179.1,Recommended,1203,shoot chicken target practice also press use key usually chicken follow
730,2022-10-29,"Product received for free  Feels like an abusive realationship. Hate it while you're in it, but miss it when you're gone!",638.0,Recommended,624,product receive free feel like abusive realationship hate miss cs
730,2021-06-07,Your team in every random competitive game:  - You - Russian Guy - Another Russian Guy - A 6 year old kid who slept with your mother - Russian Guy who speaks English  10/10,2469.4,Recommended,1221,team every random competitive game russian guy another russian guy year old kid sleep mother russian guy speak english
