Date,Review,Hours Played,Likes,Replies,Recommendation
2023-08-19 00:00:00,"This game is absolutely terrible. Warzone gets all of the content while the people who actually pay for the main game get shafted by the developers and get fed scraps. All game decisions are driven by some secret internal algorithm that Activision uses to maximize profit from cosmetics and keep players playing as long as possible. This makes every single game released since the birth of Warzone feel soulless and directionless in comparison to before.  People who keep buying the fully priced DLC they call ""games"" they will be releasing is primarily the problem. However too many Call of Duty fans love getting fed their yearly slop and cry out, ""why criticize the game, just don't play it"" because they lack the critical thinking skills required to understand that you can criticize a game without hating the entire franchise.  Activision consistently and repeatedly overworks its developers and stifles actual creativity. Most obviously apparent in the Zombies mode offerings. In Cold War, every single Zombies map was at least 50% reused assets from the campaign, which then progressed into Vanguard being this extremely terrible attempt at a small-scale outbreak with a single round-based map thrown in there which was also a remake, to now. Modern Warfare III Zombies is quite literally just Warzone DMZ with zombies put in as an environmental hazard. There are no rounds. You have 60 minutes to play, or you get kicked out. There are 24 people on the map, but it is entirely PvE.  The execs at Activision are the worst executives I have ever seen in the video gaming industry. Shamelessly forcing the developers of Call of Duty to implement the worst most unfun features into their games to try and optimize their backend numbers which shows that people spend money on microtransactions, which in reality are MACROtransactions.  You should not support this game or support Activision/Blizzard. Each game released gets lazier and lazier while Activision cries out about how it's the largest and most innovative offering yet, when in reality it's the sloppiest and most soulless. Please spend your money on something better than this.","1,180.9",8521285,0,Recommended
2023-12-07 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",0.4,2370850193,0,Recommended
2023-06-30 00:00:00,SBMM is literally destroying the game,142.5,1907703175,0,Recommended
2023-08-18 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",6.0,1637550135,0,Recommended
2023-03-20 00:00:00,Warning! Repeatedly buying a new Call of Duty game year after year is like going back to an abusive ex who swears they changed but stays the same.,11.6,2859880259,0,Recommended
2022-12-10 00:00:00,Crash Of Duty : Update Requires Restart,"1,179.9",2250937136,0,Recommended
2023-04-13 00:00:00,"Season 3 has finally introduced purchasable bundles that impart actual gameplay advantages to users who spend money vs those who don't. This is usually a death knell for an online multiplayer game. Activision is basically saying ""don't spend money on cheats to gain an advantage, just pay us directly!""  This is the ultimate middle finger to fans who do actually enjoy the gameplay and mechanics.  Pay to win. In 2023. In a AAA game.  For shame.",522.5,229237129,0,Recommended
2022-11-10 00:00:00,"Product refunded  Played campaign for 3 hours, game crashed. Relaunched to find I had been permanently banned for manipulation of game data, which I don't even know how to do. Activision denied the appeal and I refunded through steam. This is an issue affecting tons of users.  Edit: for those asking if I have ever been banned in CoD before, I have never been banned in any game in my 18 years on steam. Also, you can see plenty of articles by ESports.gg, Gamerant.com, AFKGaming, and several other sites detailing further about this topic",4.0,4568290237,0,Recommended
2024-04-09 00:00:00,Sweet lets play mw2  >update Okay thats fine  >launches cod hq >updates >resets to update >Launches cod hq again >plastered with mw3 >mw3 everywhere so it lags like crazy >finally able to breathe to get to mw2 >launches mw2 from the ♥♥♥♥♥♥♥ hq >reset to enable new update for mw2 >enables update for mw2 >mw2 closes and updates >relaunches mw2 >back to hq >relaunch mw2 from hq  *inhales deeply*  Jesus christ man..,266.7,4003723,0,Recommended
2023-08-19 00:00:00,"This game is absolutely terrible. Warzone gets all of the content while the people who actually pay for the main game get shafted by the developers and get fed scraps. All game decisions are driven by some secret internal algorithm that Activision uses to maximize profit from cosmetics and keep players playing as long as possible. This makes every single game released since the birth of Warzone feel soulless and directionless in comparison to before.  People who keep buying the fully priced DLC they call ""games"" they will be releasing is primarily the problem. However too many Call of Duty fans love getting fed their yearly slop and cry out, ""why criticize the game, just don't play it"" because they lack the critical thinking skills required to understand that you can criticize a game without hating the entire franchise.  Activision consistently and repeatedly overworks its developers and stifles actual creativity. Most obviously apparent in the Zombies mode offerings. In Cold War, every single Zombies map was at least 50% reused assets from the campaign, which then progressed into Vanguard being this extremely terrible attempt at a small-scale outbreak with a single round-based map thrown in there which was also a remake, to now. Modern Warfare III Zombies is quite literally just Warzone DMZ with zombies put in as an environmental hazard. There are no rounds. You have 60 minutes to play, or you get kicked out. There are 24 people on the map, but it is entirely PvE.  The execs at Activision are the worst executives I have ever seen in the video gaming industry. Shamelessly forcing the developers of Call of Duty to implement the worst most unfun features into their games to try and optimize their backend numbers which shows that people spend money on microtransactions, which in reality are MACROtransactions.  You should not support this game or support Activision/Blizzard. Each game released gets lazier and lazier while Activision cries out about how it's the largest and most innovative offering yet, when in reality it's the sloppiest and most soulless. Please spend your money on something better than this.","1,180.9",8521285,0,Recommended
2023-12-07 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",0.4,2370850193,0,Recommended
2023-06-30 00:00:00,SBMM is literally destroying the game,142.5,1907703175,0,Recommended
2023-08-18 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",6.0,1637550135,0,Recommended
2023-03-20 00:00:00,Warning! Repeatedly buying a new Call of Duty game year after year is like going back to an abusive ex who swears they changed but stays the same.,11.6,2859880259,0,Recommended
2022-12-10 00:00:00,Crash Of Duty : Update Requires Restart,"1,179.9",2250937136,0,Recommended
2023-04-13 00:00:00,"Season 3 has finally introduced purchasable bundles that impart actual gameplay advantages to users who spend money vs those who don't. This is usually a death knell for an online multiplayer game. Activision is basically saying ""don't spend money on cheats to gain an advantage, just pay us directly!""  This is the ultimate middle finger to fans who do actually enjoy the gameplay and mechanics.  Pay to win. In 2023. In a AAA game.  For shame.",522.5,229237129,0,Recommended
2022-11-10 00:00:00,"Product refunded  Played campaign for 3 hours, game crashed. Relaunched to find I had been permanently banned for manipulation of game data, which I don't even know how to do. Activision denied the appeal and I refunded through steam. This is an issue affecting tons of users.  Edit: for those asking if I have ever been banned in CoD before, I have never been banned in any game in my 18 years on steam. Also, you can see plenty of articles by ESports.gg, Gamerant.com, AFKGaming, and several other sites detailing further about this topic",4.0,4568290237,0,Recommended
2024-04-09 00:00:00,Sweet lets play mw2  >update Okay thats fine  >launches cod hq >updates >resets to update >Launches cod hq again >plastered with mw3 >mw3 everywhere so it lags like crazy >finally able to breathe to get to mw2 >launches mw2 from the ♥♥♥♥♥♥♥ hq >reset to enable new update for mw2 >enables update for mw2 >mw2 closes and updates >relaunches mw2 >back to hq >relaunch mw2 from hq  *inhales deeply*  Jesus christ man..,266.7,4003723,0,Recommended
2022-11-09 00:00:00,Activision didn't finish the game so I'm not finishing this revi,121.2,670656641153,0,Recommended
2024-03-03 00:00:00,This community is so nice i got a lot of tips on how to uninstall the game and kill myself,3.9,73840878,0,Recommended
2023-07-12 00:00:00,It would be nice to see the developers create something other than complete garbage.,184.7,14737732,0,Recommended
2023-09-20 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",1.4,2551809180,0,Recommended
2024-12-16 00:00:00,Using A.I. art and replacing voice actors is pretty egregious when you're a multi billion dollar company.,38.6,520730,0,Recommended
2024-02-17 00:00:00,"Do not ♥♥♥♥♥♥♥ buy MW3. If you have your doubts about the game and think you will be able to refund it, think again, I bought the game today and played just under 80 minutes of MP, game was not that fun for me and I decided to refund it, well steam decided that is not possible, they are including my Warzone hours and all the DLC that was apart of Warzone which are all free and I did not pay for, they say I have played 85 hours of the game, but also that I purchased it today 17 Feb 2024, how can I already have 85 hours on a video game I bought TODAY????? You have been warned.",116.2,7824555,0,Recommended
2024-04-02 00:00:00,"These are the steps I took to download this garbage game.  1. Go to steam and search up Warzone.  2. Download Warzone (instead of actually installing Warzone it downloads a COD launcher, as well as MW3 and MW2 even though I don't own either)  3. Open the game, scroll down to Warzone and click the only option available, DMZ.  4. Game closes MW3, opens MW2, downloads 2 sets of updates for both launchers even though I don't OWN EITHER, and then tries to sell me MW2  5. Go back to main launcher and click the grayed out ""you don't own this DLC""  6. Tells me to download Warzone.  7. Crashes twice during the ACTUAL download of Warzone even though I meet recommended specs.  I just downloaded 80GB of bs just to download another 10GB to play the game I originally went through all this for, and then when I finally figure out where to download it, IT WON'T LET ME!  The game also destroyed my laptop, had to restart multiple times to get normal functionality. This is not a game, it is malware.  Whoever designed this clearly needs a lobotomy.",1.5,89212569,0,Recommended
2023-11-03 00:00:00,"MWIII is the worst campaign of all time. 14 short missions and half are just spec ops missions from MWII, dropping you in a section of the warzone map and giving you objectives. It was like a warzone tutorial. The story is also far less than adequate. This seems like it should have been a DLC for MWII . I have never been more upset with a game. The multiplayer needs to be phenomenal for this game to be worth buying at all.",450.0,27176899,0,Recommended
2023-02-16 00:00:00,"October 2022 ""This will be the only CoD game until 2024""  February 2023 ""The project has changed direction to become a full premium standalone release planned for 2023""  Everyone that bought this piece of ♥♥♥♥ game deserves a full refund from these scammers.",191.5,297890152,0,Recommended
2023-08-19 00:00:00,"This game is absolutely terrible. Warzone gets all of the content while the people who actually pay for the main game get shafted by the developers and get fed scraps. All game decisions are driven by some secret internal algorithm that Activision uses to maximize profit from cosmetics and keep players playing as long as possible. This makes every single game released since the birth of Warzone feel soulless and directionless in comparison to before.  People who keep buying the fully priced DLC they call ""games"" they will be releasing is primarily the problem. However too many Call of Duty fans love getting fed their yearly slop and cry out, ""why criticize the game, just don't play it"" because they lack the critical thinking skills required to understand that you can criticize a game without hating the entire franchise.  Activision consistently and repeatedly overworks its developers and stifles actual creativity. Most obviously apparent in the Zombies mode offerings. In Cold War, every single Zombies map was at least 50% reused assets from the campaign, which then progressed into Vanguard being this extremely terrible attempt at a small-scale outbreak with a single round-based map thrown in there which was also a remake, to now. Modern Warfare III Zombies is quite literally just Warzone DMZ with zombies put in as an environmental hazard. There are no rounds. You have 60 minutes to play, or you get kicked out. There are 24 people on the map, but it is entirely PvE.  The execs at Activision are the worst executives I have ever seen in the video gaming industry. Shamelessly forcing the developers of Call of Duty to implement the worst most unfun features into their games to try and optimize their backend numbers which shows that people spend money on microtransactions, which in reality are MACROtransactions.  You should not support this game or support Activision/Blizzard. Each game released gets lazier and lazier while Activision cries out about how it's the largest and most innovative offering yet, when in reality it's the sloppiest and most soulless. Please spend your money on something better than this.","1,180.9",8521285,0,Recommended
2023-12-07 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",0.4,2370850193,0,Recommended
2023-06-30 00:00:00,SBMM is literally destroying the game,142.5,1907703175,0,Recommended
2023-08-18 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",6.0,1637550135,0,Recommended
2023-03-20 00:00:00,Warning! Repeatedly buying a new Call of Duty game year after year is like going back to an abusive ex who swears they changed but stays the same.,11.6,2859880259,0,Recommended
2022-12-10 00:00:00,Crash Of Duty : Update Requires Restart,"1,179.9",2250937136,0,Recommended
2023-04-13 00:00:00,"Season 3 has finally introduced purchasable bundles that impart actual gameplay advantages to users who spend money vs those who don't. This is usually a death knell for an online multiplayer game. Activision is basically saying ""don't spend money on cheats to gain an advantage, just pay us directly!""  This is the ultimate middle finger to fans who do actually enjoy the gameplay and mechanics.  Pay to win. In 2023. In a AAA game.  For shame.",522.5,229237129,0,Recommended
2022-11-10 00:00:00,"Product refunded  Played campaign for 3 hours, game crashed. Relaunched to find I had been permanently banned for manipulation of game data, which I don't even know how to do. Activision denied the appeal and I refunded through steam. This is an issue affecting tons of users.  Edit: for those asking if I have ever been banned in CoD before, I have never been banned in any game in my 18 years on steam. Also, you can see plenty of articles by ESports.gg, Gamerant.com, AFKGaming, and several other sites detailing further about this topic",4.0,4568290237,0,Recommended
2024-04-09 00:00:00,Sweet lets play mw2  >update Okay thats fine  >launches cod hq >updates >resets to update >Launches cod hq again >plastered with mw3 >mw3 everywhere so it lags like crazy >finally able to breathe to get to mw2 >launches mw2 from the ♥♥♥♥♥♥♥ hq >reset to enable new update for mw2 >enables update for mw2 >mw2 closes and updates >relaunches mw2 >back to hq >relaunch mw2 from hq  *inhales deeply*  Jesus christ man..,266.7,4003723,0,Recommended
2022-11-09 00:00:00,Activision didn't finish the game so I'm not finishing this revi,121.2,670656641153,0,Recommended
2024-03-03 00:00:00,This community is so nice i got a lot of tips on how to uninstall the game and kill myself,3.9,73840878,0,Recommended
2023-07-12 00:00:00,It would be nice to see the developers create something other than complete garbage.,184.7,14737732,0,Recommended
2023-09-20 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",1.4,2551809180,0,Recommended
2024-12-16 00:00:00,Using A.I. art and replacing voice actors is pretty egregious when you're a multi billion dollar company.,38.6,520730,0,Recommended
2024-02-17 00:00:00,"Do not ♥♥♥♥♥♥♥ buy MW3. If you have your doubts about the game and think you will be able to refund it, think again, I bought the game today and played just under 80 minutes of MP, game was not that fun for me and I decided to refund it, well steam decided that is not possible, they are including my Warzone hours and all the DLC that was apart of Warzone which are all free and I did not pay for, they say I have played 85 hours of the game, but also that I purchased it today 17 Feb 2024, how can I already have 85 hours on a video game I bought TODAY????? You have been warned.",116.2,7824555,0,Recommended
2024-04-02 00:00:00,"These are the steps I took to download this garbage game.  1. Go to steam and search up Warzone.  2. Download Warzone (instead of actually installing Warzone it downloads a COD launcher, as well as MW3 and MW2 even though I don't own either)  3. Open the game, scroll down to Warzone and click the only option available, DMZ.  4. Game closes MW3, opens MW2, downloads 2 sets of updates for both launchers even though I don't OWN EITHER, and then tries to sell me MW2  5. Go back to main launcher and click the grayed out ""you don't own this DLC""  6. Tells me to download Warzone.  7. Crashes twice during the ACTUAL download of Warzone even though I meet recommended specs.  I just downloaded 80GB of bs just to download another 10GB to play the game I originally went through all this for, and then when I finally figure out where to download it, IT WON'T LET ME!  The game also destroyed my laptop, had to restart multiple times to get normal functionality. This is not a game, it is malware.  Whoever designed this clearly needs a lobotomy.",1.5,89212569,0,Recommended
2023-11-03 00:00:00,"MWIII is the worst campaign of all time. 14 short missions and half are just spec ops missions from MWII, dropping you in a section of the warzone map and giving you objectives. It was like a warzone tutorial. The story is also far less than adequate. This seems like it should have been a DLC for MWII . I have never been more upset with a game. The multiplayer needs to be phenomenal for this game to be worth buying at all.",450.0,27176899,0,Recommended
2023-02-16 00:00:00,"October 2022 ""This will be the only CoD game until 2024""  February 2023 ""The project has changed direction to become a full premium standalone release planned for 2023""  Everyone that bought this piece of ♥♥♥♥ game deserves a full refund from these scammers.",191.5,297890152,0,Recommended
2022-11-07 00:00:00,"Game's missing the ""early access"" tag.",196.8,3396718196,0,Recommended
2022-12-23 00:00:00,Update requires restart in order to see this review.,155.1,18241038123,0,Recommended
2022-12-23 00:00:00,are you tired of being happy every day?? install this game and i promise you'll never be happy again,73.8,106857156,0,Recommended
2022-10-30 00:00:00,crash of duty: modern errors 2,105.7,38271607405,0,Recommended
2023-03-18 00:00:00,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking",0.8,26411068217,0,Recommended
2023-02-24 00:00:00,Monetization hell. Feels like I'm browsing netflix just to play the game.,68.8,6134515,0,Recommended
2023-08-19 00:00:00,i love being lied to and told this would be a two year game!!!!!!,196.8,5482222,0,Recommended
2023-11-13 00:00:00,$70 DLC,297.4,7685327,0,Recommended
2022-10-29 00:00:00,"Pre ordered Vault edition. Downloaded early access for campaign. Played for 2 1/2 hours and the game crashed. Rebooted. ACCOUNT PERMANENTLY BANNED... Excuse me? Contacted Blizzard. Sent me to Activision. Repealed the ban to Activison. Denied for "" Unauthorized use of software"" and it is a PERMANENT ACTIVISION BAN. I've never cheated & I wouldn't even know how to... I have no access to anything now...Oh and they also gladly took my $100 dollars that is non refundable after 2 hours of gameplay. Imagine that. The game is bugged, the servers are awful, and they have no care for their customers.  11/6/2022 Update: This thread is amazing. I haven't laughed that hard in awhile. Thank you for taking the time to comment. The COD community is hilarious. So let me fill everyone in on what happened and what I have discovered. I originally purchased the game on which is when the inital perm ban occured. I left the review on here first because it's the only place to do so. I reached out to Activision numerous times and had 0 luck. No information. You can't even talk to a person who works there. When I repealed the ban it was instantly revoked and I received an automated response. Once the Ban is enforced it is permanent and there is nothing you can do about it. I requested a refund and was denied as well because on the servers I had logged over 2 hours of gameplay (OBVIOUSLY ONLY CAMPAIGN SINCE IT WAS EARLY ACCESS) Also this is why Blizzard was contacted because the link under the account ban takes you to Blizzard. I was mad, but wanted to play the campaign so I purchased the game a second time on steam and created a new Activision account. I know steam is great with refunds if you haven't played 2+ hours (hence why 1.7 hours is logged) It banned me right at 1.7 hours. So now I know that it was a hardware ban. Insane. I requested a refund from Steam and instantly got it back. Whatever, I tried. So after all of this is said and done, 3 weeks later I wake up and decide to re download and check my account status.....UNBANNED....like nothing ever happened. I have no idea what happened. I saw this thread blowing up and read through all the comments. I checked every program that is installed on my PC that is constantly running in my background task manager. The only one that I read about that could potentially cause these issues was my CORSAIR ICUE 4 SOFTWARE which is literally the app that makes my RAM sticks the color RED LOL So I uninstalled it to be safe. So now I'm back to playing.... what a headache. So I will never know why it happened...but after 3 ish weeks, it disappeared. So for those of you that are dealing with the same issue that really aren't cheaters and didn't do anything wrong I hope this thread helps. Activision won't take responsibility for the fact their anti cheat software is trash and it can't tell the difference between regular software and malicious software (if that really was the issue) Thanks again to those of you with intelligence and actual input who commented.",180.6,4234504376,0,Recommended
