Date,Review,Hours Played,Likes,Replies,Recommendation
2020-06-25 00:00:00,"After almost 1000 hours of playing, it's time for me to voice my thoughts. I've owned and played PUBG since the official release on steam, and I've been there through the good, the bad and the ugly. Over two years in and the game runs like it should. The maps are a mixed bag but the weapons and other content is nice. The variety of guns now give you options to suit your play style. However, with the recent changes I can't recommend the game and not lie to myself and others. Bots were recently added and they're so brainless they just get in your way. The biggest problem is the HACKING!!! PUBG has never cared to ban hackers, they review your reports one-by-one and seldom ban hackers. I've seen speed hacks, aim bots, no recoil, you name it. It's honestly ruined the game when you can't win because a hacker will sneak around and ambush you. When hackers are gone for good i'll play PUBG all day long and change my review. As it is, the game is dead to me right now.  ---EDIT 7/22/20 new season, reworked Sanhok. Map is improved a lot. Hackers still problem. Salty comments spreading like wildfire. Send help.","1,326.7",132065125,0,Recommended
2020-01-17 00:00:00,"After 2 years and 2,200 hours of gameplay, I was Permanently Banned from PUBG without any reasoning provided. I have purchased every Event Pass, and even purchased in-game cosmetics, making the account worth a great deal to me in many ways.  This was not a VAC ban, and I have never cheated in any game in the 16 years I have owned STEAM. If you view my account on PUBG Report (CATDADDY_TeDo) you will see my stats (they are not very impressive, as I am not a good player). I've always enjoyed playing the game regardless of its many shortcomings (desync issues, glitches and bugs from updates, aimbotters, etc.). But to devote so much time toward a game and then be outright Permanently Banned for absolutely no reason is absurd.  I took the time to submit a dispute ticket to PUBG Support, but in return I simply received an automated message stating the rules of the game, one of which was *apparently* violated. It was not a personal response, as the reviewer clearly did not investigate the Ban, he/she just copied and pasted an automated response.  My advice: DO NOT PURCHASE THIS GAME. Perhaps if you play infrequently and do not get reported by users enough (salty players who report all others who eliminate them) you will not get banned. But there is no guarantee. You can get sucked in and spend money on each Event Pass just to eventually be banned without reason. Such a shame.","2,806.8",12151513,0,Recommended
2020-04-26 00:00:00,"3 years and 3,500 hours of gameplay and this game is still a joke. Very clunky, glitches, bugs, FPS drops, desync, you name it! Still, I can live with all of the above...  One thing I cannot stand though is the massive cheating/hacking which ruins the experience for everyone. You can drop in Pochinki, Pecado, Boot Camp, Podvosto or Hayek and wipe the entire city, only to have a hacker kill you with a suppressed 4x Beryl spray from 200m mid-game and ruin it for the entire team.  People cheat blatantly and the developers do little to stop them. And when they do ban them, it is a ""temporary ban"". What do you mean ""temporary""? If you cheat, you should get banned permanently. End of story.  The only thing they are good at is selling silly content (weapon skins, costumes, season passes, etc...) instead of focusing on the more pressing matters.  I have no faith in what the developers say or promise anymore. Utterly disappointed.","6,182.9",709774,0,Recommended
2021-04-22 00:00:00,"AS OF 2024, Reporting system is shockers. TEAMING in public is now a thing! Radar hack is everywhere. especially in ranked!  these four prove it ..  YouTube™ Video: teaming in solo's, lower players  Views: 86 reported him twice now. once a few months ago, dev's don't take teaming seriously cause he's at it again player |1|1|1|1|111|1|1 .. ruining the game for everyone else.   YouTube™ Video: teaming in solos!  Views: 42 another players u known teamer, that wont get banned but ruining for every legit player.   YouTube™ Video: solo teamers in players unknown BG    reported , and they didnt get banned . ruining the game is acceptable these days.  I DONT THINK THEY BAN PEOPLE WHO PURCHASE TOSH FROM THE INGAME FEATURE HAHAHA dead ----------------------------------------------------------- 2100 hours ingame......  DO NOT DOWNLOAD THIS GAME. CHEATERS ARE RUNNING WILD EVERYWHERE. REPORTING DOES NOTHING. AVOID AVOID AVOID.  ABSOLUTE RIFE WITH RADAR HACK AND CHINA CHEATERS. NO Recoil is the new FPS Game Style. AVOID AIDS RIDDEN. 100% sure PUBG Devs do not BAN THESE CHEATERS BEACUSE THEY MAKE IN-GAME PURCHASES. ALSO........... it seems to be a HIGH Level player with a low level cheater , almost BOOSTING THEIR RANK. china #1 cheaters  IF THEY BANNED ALL CHEATERS THE PLAYER BASE WOULD BE ZERO.  UPVOTE TO WARN EVERYONE THANKS.","2,737.2",383513498,0,Recommended
2021-12-10 00:00:00,This game will be free from January 12 2022!,358.6,18849748,0,Recommended
2024-07-13 00:00:00,2 likes and i'll uninstall this game,36.6,16307112,0,Recommended
2021-02-05 00:00:00,"PubgCorp: No, we can't ban cheaters. No, we can't let you choose the map anymore. No, we can't improve AI for bots even though they are the only players in some matches. No, we can't fix any lags problem / FPS stuttering / freezing or crashing issues. No, we can't do whatever you like. Sorry... Buy new skins? Me: ⠀*deleted the game*  P.S. I still love it but I can't play it anymore ;-;",345.1,7007727,0,Recommended
2023-12-21 00:00:00,"Privacy policy of this game is screwed up:  ""2. What Information Do We Collect We will collect the following categories of information that may directly or indirectly identify or describe you or your device or information that may be reasonably capable of being associated with or reasonably linked to you or your device. The information you provide to us may differ depending on the circumstances. For example, these include: a. Identifiers, such as SteamID64(*), nickname, name, IP address, email address, postal address, phone number, date of birth, gender, country of residence, language, nationality, etc., b. Internet or other electronic network activity information, such as browsing behavior and device information while using our Games and Services (i.e. device model, OS version, MAC address, device ID, network type, time zone settings, battery status, screen resolution, etc.), etc. c. Game information, such as information about crash report and system activity details (i.e. game setting, play date/time, etc.), d. Transaction information, such as purchase date, items, etc. When you participate in social features (such as in-game chat), the information that you disclose is public information. We may store and access it, and it may be read, copied, collected or used by other users without your consent. (*) We collect certain information from your third party platform’s profile/account(account for Valve Corporation) as permitted by the terms of the third party platform and your privacy settings thereon.. ""(C)  AND:  ""4. How We Share Your Information We share certain personal information with third parties to provide our Games and Services to you, including service providers that process personal information""  And in the end is:  ""7. Retaining and Deleting Personal Information .... However, we may retain your personal information even after you have closed your account with us or we have ceased providing Services to you...""  Verdict - F YOU AND YOUR DATA COLLECTION!",10.8,3952144,0,Recommended
2019-03-06 00:00:00,"Update: 01/26/2022  This game was released for free. I want my money back, to be honest. Every issue in my review below has gotten about ten times worse. The hacker problem is so bad you can't get a game without them now, there's still no actual content for people who got suckered into buying this game. This has to be one of the worst dev teams on the industry.  Updated: 06/03/20  The Dev's have made solid strides in combatting the hackers and its now very possible to get a match without any foul play. Many of the bugs have also been fixed, graphics have been improved, and animation and quality of life is much better. Customization options have improved and progression is now present. PUBG also provides one of the most gritty, brutal, and earthy experiences out of any of the battle royals present, and can now actually deliver on its promised gameplay. And I'd love, LOVE to say I could recommend the game now. But honestly? I can't. Why? The absolutely predatory monetization! We're talking a Battle Pass that practically begs you to spend money. I can let it slide for Apex, and Warzone. Why? Those games are free. This paid battle pass system is absolutely unacceptable in a pay up front game. I'd love to access those new cosmetic items but if you think I'm paying for a game twice to do so you are out of your god forsaken mind. This season pass crap is the new loot boxes. Vote with your wallet people, say no to this crap.  Original Review Written 03/20/2019  I really hope my review will change by this time next year. The Dev's have made some pretty big promises but I'll not hold my breath to see if they follow through.  I've waited a very long time, over a year, for this game to fix itself. PUBG provides a gritty, realistic, pulse-pounding shooter that none of the other battle-royale games on the market have been able to replicate. Nothing feels quite like PUBG. But despite the excellent moment to moment gameplay, there is too much garbage that comes with this game. The hackers in every match, the inexcusable bugs, the practically non-existent content updates. I'm about done. I'm tired of watching someone who wasn't even aiming at me in the kill-cam hit every single shot they fire because they are either abusing region ping or flat out hacking. I'm tired of watching the free mobile game get everything from events, to temporary game modes, and hundreds of style choices while the PC version that I paid for gets nothing. I'm tired of the worst battle-royale loot and customization on the entire market. The god awful soldier crates, and then crates you can get for in-game currency but need real world keys to buy. Are you kidding me? Hours and hours in this game grinding to get one semi-decent outfit, half of which I coughed up real money for in the steam marketplace. Sure, they finally got around to bug-fixing in the past few months and hackers are rarer than they were six months ago but when I look over at games like Apex and Fortnite I can't help but feel frustrated. Why do free games have a better bug-free, hacker-free, functioning system than the one I paid for? Why do free crappy mobile game rip-offs of those games have better customization, loot, and progression than the one that I paid for? I was more than willing to give this game more time because of it's alpha and beta tags and I understood that meant that there would be a process of trial and error as things were added, fixed, and reworked. But the sheer lack of meaningful progress has left me frustrated. I cannot, in good conscience, recommend this game to anybody.",85.4,880463,0,Recommended
2020-06-25 00:00:00,"After almost 1000 hours of playing, it's time for me to voice my thoughts. I've owned and played PUBG since the official release on steam, and I've been there through the good, the bad and the ugly. Over two years in and the game runs like it should. The maps are a mixed bag but the weapons and other content is nice. The variety of guns now give you options to suit your play style. However, with the recent changes I can't recommend the game and not lie to myself and others. Bots were recently added and they're so brainless they just get in your way. The biggest problem is the HACKING!!! PUBG has never cared to ban hackers, they review your reports one-by-one and seldom ban hackers. I've seen speed hacks, aim bots, no recoil, you name it. It's honestly ruined the game when you can't win because a hacker will sneak around and ambush you. When hackers are gone for good i'll play PUBG all day long and change my review. As it is, the game is dead to me right now.  ---EDIT 7/22/20 new season, reworked Sanhok. Map is improved a lot. Hackers still problem. Salty comments spreading like wildfire. Send help.","1,326.7",132065125,0,Recommended
