Game,Date,Review,Hours Played,Recommendation,Helpful Votes,Processed_Review
1222670,2021-12-24,Congratulations EA you have unlocked a review! to upgrade this review to positive you can purchase our DLC positive review package to enjoy the complete review! now only for 40$!,31.8,Not Recommended,1928,congratulation ea unlock review upgrade review positive purchase dlc positive review package enjoy complete review
1222670,2023-06-25,"$764 ""DLC"" for the full game.  Go f͏u͏c͏k͏ yourselves, EA.",1.0,Not Recommended,1790,dlc full game go ea
1222670,2024-04-18,To those who got it for free: Download mods instead of buying cashgrab dlcs.,0.1,Recommended,579,get free download mods instead buy cashgrab dlc
1222670,2023-03-07,"$995 ""DLC"" for the full game.  Go f͏u͏c͏k͏ yourselves, EA.",9.2,Not Recommended,2383,dlc full game go ea
1222670,2020-06-25,"It is fun. You can spend hours playing it, but the fact that the DLCs cost as much as the base game is outrageous. If there was a ""meh"" rating, I would give it simply because of that.",94.6,Recommended,1001,fun spend hour play fact dlc cost much base game outrageous meh rating give simply
1222670,2022-12-09,"The game is good, but the DLCs are very expensive. Just add the base game to your Steam account and use EA's DLC unlocker for free access to each and every DLC.",21.0,Recommended,875,game good dlc expensive add base game steam account use ea dlc unlocker free access every dlc
1222670,2024-02-10,to those who got it for free download mods instead of buying cashgrab dlc,1416.6,Recommended,467,get free download mods instead buy cashgrab dlc
1222670,2021-06-06,if u bought every dlc in the sims 4 it would roughly cost 700 dollars. you could either buy a ps5 or every dlc in the sims 4,14.9,Recommended,809,buy every dlc sims roughly cost dollar either buy ps5 every dlc sims
1222670,2020-11-30,88% off is a damn good price for what it's offering. I recommend it highly. Only downside is... DLC being worth A$ 608.30 with discounts... EA... are you serious.  Edit after almost exactly 3 years; Never imagined to see EA of all companies make this game free. I feel really bad for those who spent full price for this.,156.0,Recommended,874,damn good price offer recommend highly downside dlc worth discount ea serious edit almost exactly year never imagine see ea company make game free feel really bad spend full price
1222670,2023-11-25,"While I love the sims, and this entry certainly runs smoother and looks better, with better character customization, that's where the good things about this game stop. It still costs hundreds of dollars to buy all the DLC for this game, and let me tell you that they've made everything into a DLC. Want a pet? DLC. Want to take your Sims out to a restaurant sometimes during the week like a normal person would do? DLC. Want to pretty much do anything with your Sims besides have them sit at home or wait for them to come back from working a job? DLC. It's after you play for a while and decide you want to start doing things, that you realize you actually can't do sh** until you buy some DLC. This game has been out for years and there still isn't a bundle with all the DLC. I'm not going to buy a single pack, EA, you damn buffoons. I would have been happy to spend up to like $100 total on this game, but now I will stick with the free version and not spend a dime on the stupidly overpriced DLC. I would rather download all the DLC illegally than pay you hundreds for it. Honestly, I'd recommend you just play Sims 3, because there is a ton of included content compared to this game.",119.9,Not Recommended,661,love sims entry certainly run smoother look well good character customization good thing game stop still cost hundred dollar buy dlc game let tell make everything dlc want pet dlc want take sims restaurant sometimes week like normal person dlc want pretty much anything sims besides sit home wait come back work job dlc play decide want start thing realize actually sh buy dlc game year still bundle dlc go buy single dlc ea damn buffoon happy spend like total game stick free version spend dime stupidly overpriced dlc rather download dlc illegally pay hundred honestly recommend play sims ton included content compare game
1222670,2024-01-01,the sims 2 outsold,56.5,Recommended,698,sims outsold
1222670,2020-10-15,10/10 love making myself as a sim and drowning myself whenever i'm depressed from looking at the dlc prices,238.2,Recommended,511,love make sims drown whenever depress look dlc price
1222670,2020-07-07,"There should be a competing title in this genre so that EA won't keep cashing in on this community which has been more and more lenient and tried its best to put up with whatever bs dlc the devs have put together. It's a shame that this franchise has fallen so far. Pros: -Bunch of really nice quality of life features compared to the previous titles Con: -The game feels soulless and cutting corners at every possible opportunity to do so. -DLC price tag unjustified unlike the previous titles -Terrible and baffling game design decisions everywhere, they're some of the most cored features too -Action queue is extremely buggy years after the game's release, the amount of time for a sim to perform action/idling is nonsensical. -Removed sandbox design and put in the older scene/lot system is such a backwards compromise that's almost certainly done for technical/engine limits reason, such a shame to see so much game design potential being thrown into the trash because they chose the easy way out.(As expected, the decision here came back to bite them when they design some of the dlc content, which feels really disrupted by the constant fast travelling",132.1,Not Recommended,738,compete title genre ea keep cashing community lenient try best put whatever b dlc devs put together shame franchise fall far pros bunch really nice quality life feature compare previous title con game feel soulless cut corner every possible opportunity dlc price tag unjustified unlike previous title terrible baffling game design decision everywhere cored feature action queue extremely buggy year game release amount time sims perform action idling nonsensical remove sandbox design put old scene lot system backwards compromise almost certainly do technical engine limit reason shame see much game design potential throw trash choose easy way expect decision come back bite design dlc content feel really disrupt constant fast travelling
1222670,2020-06-19,"I love The Sims. I love The Sims 4. Here's why I don't recommend it.  -Still launches through Origin. Buying on Steam just adds another layer of DRM. -If you previously purchased through Origin, you will need to redownload any DLC, even if you already had it installed -Your DLC carries over, the base game does not, which means you'll have to purchase the base game again. -Your DLC doesn't 'unlock' through Steam's store, if you purchased it on Origin (because of course it doesn't)  This is probably the worst Steam integration I've ever seen. Don't buy it here if you already own it, just use ""add non-Steam game to library"". It's almost identical and $20 cheaper.",80.3,Not Recommended,1326,love sims love sims recommend still launch origin buying steam add another layer drm previously purchase origin need redownload dlc even already instal dlc carry base game mean purchase base game dlc unlock steam store purchase origin course probably bad steam integration ever see buy already use add non steam game library almost identical cheaper
1222670,2022-06-02,DLC are so expensive and the EA Apps makes it even worst.,922.6,Not Recommended,1689,dlc expensive ea apps make even worst
1222670,2022-06-12,"It´s a relly good game, but the prices for the DLCs are simply disgusting as you would expect from EA.  7/10, The Sims series is good, but the DLC prices are outrageous.",131.5,Recommended,336,relly good game price dlc simply disgust expect ea sims series good dlc price outrageous
1222670,2020-11-01,It really should be free on Steam if you own it on Origin.,29.5,Recommended,828,really free steam origin
