Game,Date,Review,Hours Played,Recommendation,Helpful Votes
1222670,2021-12-24 00:00:00,Congratulations EA you have unlocked a review! to upgrade this review to positive you can purchase our DLC positive review package to enjoy the complete review! now only for 40$!,31.8,Not Recommended,"1,928 people found this review helpful
1,569 people found this review funny 299"
1222670,2023-06-25 00:00:00,"$764 ""DLC"" for the full game.  Go f͏u͏c͏k͏ yourselves, EA.",1.0,Not Recommended,"1,790 people found this review helpful
162 people found this review funny 132"
1222670,2024-04-18 00:00:00,To those who got it for free: Download mods instead of buying cashgrab dlcs.,0.1,Recommended,"579 people found this review helpful
6 people found this review funny 18"
1222670,2023-03-07 00:00:00,"$995 ""DLC"" for the full game.  Go f͏u͏c͏k͏ yourselves, EA.",9.2,Not Recommended,"2,383 people found this review helpful
253 people found this review funny 199"
1222670,2020-06-25 00:00:00,"It is fun. You can spend hours playing it, but the fact that the DLCs cost as much as the base game is outrageous. If there was a ""meh"" rating, I would give it simply because of that.",94.6,Recommended,"1,001 people found this review helpful
79 people found this review funny 535"
1222670,2022-12-09 00:00:00,"The game is good, but the DLCs are very expensive. Just add the base game to your Steam account and use EA's DLC unlocker for free access to each and every DLC.",21.0,Recommended,"875 people found this review helpful
41 people found this review funny 43"
1222670,2024-02-10 00:00:00,to those who got it for free download mods instead of buying cashgrab dlc,"1,416.6",Recommended,"467 people found this review helpful
17 people found this review funny 6"
1222670,2021-06-06 00:00:00,if u bought every dlc in the sims 4 it would roughly cost 700 dollars. you could either buy a ps5 or every dlc in the sims 4,14.9,Recommended,"809 people found this review helpful
335 people found this review funny 22"
1222670,2020-11-30 00:00:00,88% off is a damn good price for what it's offering. I recommend it highly. Only downside is... DLC being worth A$ 608.30 with discounts... EA... are you serious.  Edit after almost exactly 3 years; Never imagined to see EA of all companies make this game free. I feel really bad for those who spent full price for this.,156.0,Recommended,"874 people found this review helpful
94 people found this review funny 37"
1222670,2023-11-25 00:00:00,"While I love the sims, and this entry certainly runs smoother and looks better, with better character customization, that's where the good things about this game stop. It still costs hundreds of dollars to buy all the DLC for this game, and let me tell you that they've made everything into a DLC. Want a pet? DLC. Want to take your Sims out to a restaurant sometimes during the week like a normal person would do? DLC. Want to pretty much do anything with your Sims besides have them sit at home or wait for them to come back from working a job? DLC. It's after you play for a while and decide you want to start doing things, that you realize you actually can't do sh** until you buy some DLC. This game has been out for years and there still isn't a bundle with all the DLC. I'm not going to buy a single pack, EA, you damn buffoons. I would have been happy to spend up to like $100 total on this game, but now I will stick with the free version and not spend a dime on the stupidly overpriced DLC. I would rather download all the DLC illegally than pay you hundreds for it. Honestly, I'd recommend you just play Sims 3, because there is a ton of included content compared to this game.",119.9,Not Recommended,"661 people found this review helpful
19 people found this review funny 55"
1222670,2024-01-01 00:00:00,the sims 2 outsold,56.5,Recommended,"698 people found this review helpful
83 people found this review funny 53"
1222670,2020-10-15 00:00:00,10/10 love making myself as a sim and drowning myself whenever i'm depressed from looking at the dlc prices,238.2,Recommended,"511 people found this review helpful
542 people found this review funny 51"
