Game,Date,Review,Hours Played,Recommendation,Helpful Votes
105600,2023-01-25 00:00:00,"Other developers: Promise to update their game, never update it.  Terraria developers: Promise to stop updating their game, update it anyways.",199.1,Recommended,"945 people found this review helpful
395 people found this review funny 41"
105600,2024-07-06 00:00:00,"I love this game, what's its name, the wikipedia simulator",126.5,Recommended,"353 people found this review helpful
15 people found this review funny 9"
105600,2024-04-02 00:00:00,There was a review a long time ago saying you should buy extra copies and give it to people who look sad.  I was one of those sad people.  Was.,878.9,Recommended,"664 people found this review helpful
81 people found this review funny 42"
105600,2021-04-08 00:00:00,"Its not 2D minecraft, trust me",41.8,Recommended,"1,324 people found this review helpful
231 people found this review funny 48"
105600,2020-03-09 00:00:00,"For everyone saying this is a 2D Minecraft, you're wrong. This game has a lot of stuff to offer. Different kind of bosses, unique items, an adventure u WILL NEVER forget, Terraria.","1,057.7",Recommended,"881 people found this review helpful
42 people found this review funny 9"
105600,2024-02-27 00:00:00,I could play this game for 1000 hours without getting bored.,"1,081.3",Recommended,"896 people found this review helpful
839 people found this review funny 89"
105600,2020-11-27 00:00:00,"Labor of love from this developer is unreal. Free update after free update for several years, and now here we are at ""The Journey's End"" update.  So much content to play, Huge replay value / replayability.  If you like sandbox, base building, RPG, or you are a creative person definitely recommend this game.  9.5 / 10",119.7,Recommended,"920 people found this review helpful
15 people found this review funny 108"
105600,2021-01-19 00:00:00,"10 years of active development, 0 DLC, 0 microtransactions, a consistent $10 price tag with consistent 50% markdowns during any and all major steam sales.  Enough about the developers and marketing, lets talk about the game.  Amazing replayability, gameplay variety, length, and sense of consistent progression. The game has one of the best communities of any game I have ever played. Not to mention modding is now supported on steam (see Tmodloader) and the modding community is actually CRACKED.  I recommend everyone and their mother plays Terraria. Buy it.","1,225.6",Recommended,"600 people found this review helpful
19 people found this review funny 36"
105600,2021-10-04 00:00:00,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣀⡀⠀⠀⣀⡀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣿⣿⠀⣼⣿⣿⣦⡀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⠀⠀⠀⠀⢸⣿⣿⡟⢰⣿⣿⣿⠟⠁⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⢰⣿⠿⢿⣦⣀⠀⠘⠛⠛⠃⠸⠿⠟⣫⣴⣶⣾⡆⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠸⣿⡀⠀⠉⢿⣦⡀⠀⠀⠀⠀⠀⠀⠛⠿⠿⣿⠃⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣦⠀⠀⠹⣿⣶⡾⠛⠛⢷⣦⣄⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣧⠀⠀⠈⠉⣀⡀⠀⠀⠙⢿⡇⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⡿⠟⠋⠀⠀⢠⣾⠟⠃⠀⠀⠀⢸⣿⡆⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⢀⣠⣶⡿⠛⠉⠀⠀⠀⠀⠀⣾⡇⠀⠀⠀⠀⠀⢸⣿⠇⠀⠀⠀⠀⠀ ⠀⢀⣠⣾⠿⠛⠁⠀⠀⠀⠀⠀⠀⠀⢀⣼⣧⣀⠀⠀⠀⢀⣼⠇⠀⠀⠀⠀⠀⠀ ⠀⠈⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⡿⠋⠙⠛⠛⠛⠛⠛⠁⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣾⡿⠋⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⢾⠿⠋⠀ The Best Game,325.2,Recommended,"729 people found this review helpful
311 people found this review funny 9"
105600,2019-11-27 00:00:00,"How have I not written a review for this amazing game? I've been playing Terraria ever since the days of early 1.1.1, in the Christmas season of 2011. Over these years, I've logged over 2000 hours total, along with at least another 1000 hours played offline (including playtime on mobile, console, and an alt Steam account). Enough of showing off hour counts though. Why in the world should you buy this game?  Terraria is an experience where you're given basically unlimited liberty. Even before you start, you get to completely customize your character and world. After setting it all up, you get dropped into the center of the overworld, where you can go off to do whatever you want. For those of you who got bored with Minecraft as I did, don't worry, as Terraria completely fixes that problem with branching pathways in weapon classes and self-imposed challenges.  You can even get a vastly different experience, cooperating with friends on an extremely easy to-set-up multiplayer server. By hosting directly through Steam, you just open up your world from the Multiplayer menu and send an invite to your friend(s)! It's that easy! No need for messy port-forwarding or separate third-party accounts (looking at you, Hamachi)!  If your class specific challenges and multiplayer options can't fill your needs, there are tons of really great mods to check out! Thorium and Calamity are two of the biggest ones out there. Thorium blends and balances perfectly with the base game's progression, while Calamity adds some incredibly difficult boss battles and other challenges in higher levels than the progression of the base game (or so I've heard... I'm still blind to most of it). Separately, those two add so much on their own, but there are so many others that can change so many things about the game. Possibilities are endless when it comes to modding in Terraria.  Back to the base game, the music is absolutely outstanding, and along with the ambient noises, the game has an amazing sense of atmosphere. Evil places feel like they're filled with dark energy and horrible power. Underground caverns are filled with anxiety of incoming danger and hope to find loot. The list goes on...  Bosses can be difficult to fight (especially in Expert, and even more so in Master Mode, if you choose to go with that), but the weapons and abilities that you can obtain in Terraria simply make you feel amazing, each one having its own uses. The controls are entirely customizable, even allowing for extra mouse buttons to be used (if you have any), and they're extremely tight. I can't say I've ever seen a more fun grappling hook mechanic than the one in Terraria. It's like a 360-degree hookshot, and the physics feel absolutely perfect on it. There's no better feeling than grappling onto a block and releasing the hook early (by jumping) to launch yourself with some huge momentum (then, if you're like me, doing it again immediately in the opposite direction, and repeating). Mobility might be really slow, and to be honest, a bit boring at the start of the game (in Classic Mode, at least, Journey Mode fixes this nicely), but it greatly improves as you make progress.  Lastly, the Terraria community is one of the best out there. So many helpful folks are in the official Discord Server, if you ever have any questions that the Guide NPC or the thoroughly in-depth wiki site can't answer.  There are many things I didn't cover here, but I don't have time to go into every reason why I love this game (there are too many), and I doubt you have much more time to keep reading them anyways. ;P  Sorry, my train of thought can sometimes go off the rails. Thanks for your time reading this far, and I hope this review was helpful! Hope to see you around in the community! :D  TLDR; This is an utterly fantastic game. Do yourself a favor, and buy it if you somehow haven't yet.","1,606.6",Recommended,"709 people found this review helpful
46 people found this review funny 3"
