Date,Hours Played,Likes,Replies,Recommendation
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2014-03-15,3617.7,78662027,0,Recommended
2014-09-19,22887.1,91735840,0,Recommended
2020-03-08,2225.2,805827,0,Recommended
