Game,Date,Hours Played,Recommendation,Helpful Votes
730,2016-10-19,2711.8,Recommended,7335
730,2020-11-02,1900.8,Recommended,2134
730,2019-11-04,8154.3,Not Recommended,1806
730,2023-07-15,11.9,Recommended,905
730,2023-08-14,172.1,Recommended,918
730,2017-01-05,9383.9,Recommended,1055
730,2022-01-20,1691.2,Recommended,874
730,2023-09-20,13.0,Recommended,7638
730,2021-02-11,7179.1,Recommended,1203
730,2022-10-29,638.0,Recommended,624
730,2021-06-07,2469.4,Recommended,1221
730,2021-11-03,3564.2,Recommended,888
730,2023-06-13,5.2,Recommended,1006
730,2023-09-28,584.8,Recommended,6281
730,2021-03-01,20201.4,Recommended,2077
730,2022-02-28,2054.6,Recommended,653
730,2016-07-05,8316.1,Recommended,716
730,2023-03-22,2404.6,Recommended,883
730,2021-01-06,201.1,Recommended,1675
730,2021-11-03,4428.4,Recommended,513
730,2017-03-02,1770.6,Recommended,256
730,2021-03-20,179.5,Recommended,1631
730,2021-06-24,155.2,Recommended,844
730,2021-09-01,194.2,Recommended,1022
730,2024-06-30,10247.4,Not Recommended,1513
730,2020-10-24,4340.8,Recommended,788
730,2024-03-24,10379.9,Not Recommended,1324
730,2017-06-05,2415.3,Recommended,12580
730,2023-10-01,4858.8,Not Recommended,1112
730,2021-11-02,3415.9,Recommended,516
730,2024-04-25,1112.9,Recommended,714
730,2016-02-17,946.4,Recommended,921
730,2020-08-17,73.0,Recommended,643
730,2017-12-21,9644.0,Recommended,245
730,2024-06-17,54.4,Recommended,1030
730,2020-09-09,196.7,Recommended,797
730,2020-08-10,239.0,Recommended,1261
730,2018-01-16,12727.6,Not Recommended,346
730,2022-07-12,451.2,Recommended,387
730,2017-06-02,6841.8,Recommended,854
730,2023-09-28,1264.2,Not Recommended,897
730,2019-06-29,2052.1,Recommended,501
730,2014-03-15,3617.7,Recommended,786
730,2023-03-25,286.9,Recommended,503
730,2014-09-19,22935.2,Recommended,918
730,2020-03-08,2225.2,Recommended,805
730,2019-02-21,4778.8,Recommended,655
730,2022-08-20,356.7,Recommended,751
730,2020-07-03,3091.3,Recommended,219
730,2023-02-09,1034.8,Recommended,383
730,2024-07-03,163.8,Recommended,710
730,2024-04-13,2872.9,Not Recommended,377
730,2021-08-10,13774.9,Recommended,544
730,2021-07-12,578.0,Recommended,545
730,2021-10-13,171.8,Recommended,624
730,2018-11-24,3836.9,Recommended,175
730,2021-04-02,210.2,Recommended,489
730,2023-09-28,417.8,Not Recommended,11596
730,2024-01-10,6385.8,Not Recommended,260
730,2024-07-24,1484.7,Recommended,360
730,2021-12-28,2087.6,Recommended,475
730,2021-03-15,36.7,Recommended,875
730,2024-04-17,822.5,Recommended,507
730,2023-09-15,337.0,Recommended,5718
730,2023-09-28,560.3,Not Recommended,1205
730,2017-11-23,2103.1,Recommended,531
730,2023-08-20,2397.9,Recommended,885
730,2024-08-14,639.5,Recommended,486
730,2023-06-14,6793.5,Recommended,269
730,2020-07-20,638.0,Recommended,517
730,2024-10-03,2067.4,Not Recommended,1087
730,2021-02-04,7.8,Recommended,785
730,2023-11-26,5.6,Recommended,922
730,2020-09-04,727.2,Recommended,1078
730,2016-07-29,1151.4,Recommended,1657
730,2022-11-29,8496.9,Recommended,624
730,2017-02-22,25687.6,Recommended,1073
730,2023-07-26,1700.1,Recommended,358
