Game,Date,Hours Played,Recommendation,Helpful Votes
578080,2020-06-25,1326.7,Not Recommended,1320
578080,2020-01-17,2808.4,Not Recommended,1216
578080,2020-04-26,6186.4,Not Recommended,709
578080,2021-04-22,2737.2,Not Recommended,3835
578080,2021-12-10,358.6,Recommended,1884
578080,2024-07-13,36.6,Recommended,1630
578080,2021-02-05,345.1,Not Recommended,701
578080,2023-12-21,10.8,Not Recommended,395
578080,2019-03-06,85.4,Not Recommended,880
578080,2020-04-05,685.9,Not Recommended,795
578080,2021-04-28,740.5,Not Recommended,599
578080,2024-10-03,39.1,Recommended,184
578080,2021-04-04,4585.3,Not Recommended,672
578080,2021-03-11,827.3,Not Recommended,793
578080,2023-08-27,6851.1,Not Recommended,297
578080,2020-10-28,3191.0,Not Recommended,716
578080,2022-01-11,10.5,Not Recommended,7227
578080,2020-10-01,1216.8,Not Recommended,888
578080,2020-11-13,1019.0,Not Recommended,656
578080,2021-06-04,2850.9,Not Recommended,688
578080,2022-03-05,1076.5,Not Recommended,769
578080,2022-09-08,174.0,Not Recommended,335
578080,2022-06-08,464.2,Not Recommended,266
578080,2024-04-01,25.0,Not Recommended,285
578080,2021-02-06,4011.4,Not Recommended,308
578080,2019-09-09,2398.8,Not Recommended,602
578080,2020-12-16,468.4,Not Recommended,411
578080,2020-07-22,2828.3,Not Recommended,567
578080,2020-10-21,2944.4,Not Recommended,368
578080,2018-04-18,194.3,Recommended,1674
578080,2018-04-22,357.6,Recommended,1133
578080,2019-10-02,544.4,Recommended,438
578080,2024-04-25,225.6,Not Recommended,342
578080,2018-06-20,248.3,Not Recommended,4203
578080,2020-11-12,2233.6,Not Recommended,436
578080,2022-01-12,80.8,Recommended,2743
578080,2021-11-18,572.7,Not Recommended,624
578080,2018-02-24,333.9,Recommended,3270
578080,2024-02-28,3192.1,Not Recommended,397
578080,2021-06-13,1282.6,Not Recommended,768
578080,2020-01-22,1987.2,Not Recommended,280
