Game,Date,Hours Played,Recommendation,Helpful Votes
1222670,2021-12-24,31.8,Not Recommended,1928
1222670,2023-06-25,1.0,Not Recommended,1790
1222670,2024-04-18,0.1,Recommended,579
1222670,2023-03-07,9.2,Not Recommended,2383
1222670,2020-06-25,94.6,Recommended,1001
1222670,2022-12-09,21.0,Recommended,875
1222670,2024-02-10,1416.6,Recommended,467
1222670,2021-06-06,14.9,Recommended,809
1222670,2020-11-30,156.0,Recommended,874
1222670,2023-11-25,119.9,Not Recommended,661
1222670,2024-01-01,56.5,Recommended,698
1222670,2020-10-15,238.2,Recommended,511
1222670,2020-07-07,132.1,Not Recommended,738
1222670,2020-06-19,80.3,Not Recommended,1326
1222670,2022-06-02,922.6,Not Recommended,1689
1222670,2022-06-12,131.5,Recommended,336
1222670,2020-11-01,29.5,Recommended,828
1222670,2021-07-01,24.3,Recommended,444
1222670,2021-01-22,7.5,Not Recommended,1233
1222670,2023-09-14,14.2,Recommended,413
1222670,2022-10-19,12.3,Recommended,420
1222670,2020-07-07,25.0,Recommended,640
1222670,2023-10-26,7.5,Recommended,533
1222670,2020-12-06,19.9,Recommended,553
1222670,2021-04-05,208.5,Not Recommended,1685
1222670,2024-12-31,45.9,Not Recommended,607
1222670,2020-08-20,175.2,Recommended,800
1222670,2023-01-23,33.8,Not Recommended,423
1222670,2022-01-27,80.4,Not Recommended,1608
1222670,2023-04-28,40.3,Recommended,341
1222670,2024-07-08,232.9,Not Recommended,320
1222670,2022-11-01,52.3,Not Recommended,865
1222670,2022-07-10,1575.3,Not Recommended,709
1222670,2022-04-28,2.2,Not Recommended,770
1222670,2023-03-14,9.1,Recommended,706
1222670,2021-09-10,10.9,Not Recommended,812
1222670,2022-04-06,958.1,Recommended,344
1222670,2024-07-24,5405.6,Recommended,499
1222670,2020-10-30,59.4,Not Recommended,1219
1222670,2024-01-25,199.1,Not Recommended,491
1222670,2022-08-28,71.6,Not Recommended,575
1222670,2023-06-03,18.3,Not Recommended,486
1222670,2022-06-10,397.2,Not Recommended,262
1222670,2021-04-08,23.6,Recommended,669
1222670,2023-01-10,35.7,Not Recommended,1247
1222670,2024-06-30,157.5,Recommended,1490
1222670,2024-04-28,107.3,Not Recommended,479
1222670,2020-06-27,52.5,Recommended,436
1222670,2022-07-03,158.7,Recommended,262
1222670,2022-11-10,45.2,Recommended,403
1222670,2021-06-25,53.4,Not Recommended,438
1222670,2020-06-20,174.6,Not Recommended,1272
1222670,2021-11-29,203.2,Recommended,286
1222670,2023-06-11,115.5,Recommended,328
1222670,2023-04-23,49.6,Not Recommended,270
1222670,2023-04-17,65.9,Not Recommended,476
1222670,2024-06-11,129.6,Not Recommended,573
1222670,2023-07-27,1.0,Not Recommended,927
1222670,2020-08-13,44.7,Not Recommended,1945
1222670,2022-03-07,90.4,Recommended,794
1222670,2020-06-18,1.0,Not Recommended,3882
1222670,2021-12-05,69.0,Recommended,362
1222670,2022-08-15,358.7,Recommended,204
1222670,2021-12-24,8348.6,Recommended,321
1222670,2022-11-29,5.4,Recommended,395
1222670,2022-09-10,343.3,Recommended,180
1222670,2024-02-28,937.3,Not Recommended,605
1222670,2021-11-26,6.8,Not Recommended,1040
1222670,2021-07-06,26.4,Not Recommended,227
1222670,2020-06-23,3.9,Not Recommended,521
1222670,2020-06-20,1040.8,Not Recommended,727
1222670,2020-06-24,186.5,Not Recommended,850
1222670,2021-11-27,53.8,Recommended,245
1222670,2022-11-14,111.5,Not Recommended,351
1222670,2023-01-01,42.4,Recommended,281
1222670,2023-03-26,246.5,Recommended,395
1222670,2022-06-12,7109.0,Recommended,404
1222670,2020-11-04,20.3,Recommended,443
1222670,2023-11-05,108.1,Not Recommended,188
1222670,2020-06-28,191.8,Not Recommended,359
1222670,2021-01-04,9.7,Not Recommended,321
1222670,2023-12-02,883.9,Recommended,343
1222670,2021-07-25,8.5,Recommended,202
1222670,2023-12-20,42.4,Not Recommended,477
1222670,2023-11-19,2.5,Recommended,290
1222670,2024-07-01,5.7,Not Recommended,806
1222670,2022-06-19,15.2,Not Recommended,160
1222670,2020-09-04,1.0,Not Recommended,440
1222670,2023-06-29,258.0,Recommended,255
1222670,2023-02-02,334.3,Recommended,164
1222670,2023-10-08,502.6,Recommended,280
1222670,2022-03-10,2849.9,Recommended,224
1222670,2023-11-26,446.4,Recommended,343
1222670,2024-12-06,356.3,Not Recommended,165
1222670,2021-10-30,2738.1,Recommended,154
1222670,2023-09-11,401.1,Recommended,171
1222670,2023-01-13,17.4,Recommended,254
1222670,2022-09-14,70.8,Recommended,166
1222670,2022-02-04,62.9,Not Recommended,179
1222670,2020-07-09,58.7,Recommended,281
1222670,2020-07-02,2158.6,Recommended,216
1222670,2023-06-14,45.3,Recommended,176
1222670,2020-12-23,205.0,Not Recommended,208
1222670,2024-10-23,141.0,Not Recommended,201
1222670,2020-08-14,28.1,Recommended,394
1222670,2023-11-18,725.8,Recommended,196
1222670,2020-11-26,27.0,Not Recommended,531
1222670,2021-08-20,139.3,Recommended,246
1222670,2022-06-24,65.0,Recommended,271
1222670,2020-11-25,571.5,Recommended,224
1222670,2022-02-04,697.4,Recommended,283
1222670,2021-12-30,9.3,Recommended,248
1222670,2024-02-08,92.2,Not Recommended,183
1222670,2023-09-10,1013.7,Recommended,252
1222670,2024-11-07,7.5,Not Recommended,262
1222670,2023-06-04,32.1,Recommended,476
1222670,2022-07-07,134.5,Recommended,206
1222670,2022-04-28,574.0,Recommended,230
1222670,2023-10-28,194.0,Not Recommended,359
1222670,2020-06-21,13.1,Not Recommended,315
1222670,2022-01-29,5.0,Recommended,376
1222670,2020-10-09,910.0,Not Recommended,337
1222670,2022-12-02,68.9,Recommended,202
1222670,2023-08-31,782.0,Not Recommended,324
1222670,2024-03-29,251.0,Recommended,155
1222670,2024-07-09,4.5,Recommended,141
1222670,2022-12-19,48.7,Not Recommended,338
1222670,2023-06-28,67.5,Recommended,155
1222670,2022-03-20,634.9,Recommended,123
1222670,2022-10-10,3.4,Recommended,1325
1222670,2024-01-03,54.6,Not Recommended,142
1222670,2022-07-12,23.8,Recommended,115
1222670,2020-08-27,25.5,Recommended,138
1222670,2020-06-19,26.3,Not Recommended,482
1222670,2021-04-30,32.5,Recommended,107
1222670,2023-11-29,9.0,Not Recommended,204
1222670,2022-07-14,29.8,Recommended,158
1222670,2021-10-07,428.6,Recommended,104
