Date,Review,Hours Played,Likes,Replies,Recommendation
2016-10-19 00:00:00,Where can I get the English version ?,"2,711.8",7334249450,0,Recommended
2020-11-02 00:00:00,"The time I spent playing this game could've been spent... ...studying ...applying for jobs ...making friends irl ...getting a wife ...spending time with my family ...working out ...becoming a better man in general  From the time I spent in this game, I got... ...an extremely racist and homophobic vocabulary ...free Russian lessons ...anger management issues ...borderline autistic tendencies ...sleep deprivation  10/10 would never uninstall this game and correct my life  P.S. PLEASE for the love of all that is holy, practice in Deathmatch and Casual as well as perfect your cross-hair and mouse sensitivity before you jump into competitive. People will thank you for it.","1,895.9",21331564346,0,Recommended
2019-11-04 00:00:00,Underage Gambling,"8,154.3",180222395,0,Recommended
2023-07-15 00:00:00,>see a guy >hit every shot >run out of bullets >he turns around >kills me in one shot >damage dealt: 98 in 7 >exit cs:go  10/10,11.9,90537246,0,Recommended
2023-08-14 00:00:00,>aim at corner >wait for enemy >turn away for 0.00001 seconds >he comes >kills me in one shot >exit cs:go  5 Stars Rating,172.1,91832445,0,Recommended
2017-01-05 00:00:00,is game,"9,354.1",105544360,0,Recommended
2022-01-20 00:00:00,>see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10  ~Zi(K)e,"1,691.2",87440560,0,Recommended
2016-10-19 00:00:00,Where can I get the English version ?,"2,711.8",7334249450,0,Recommended
2020-11-02 00:00:00,"The time I spent playing this game could've been spent... ...studying ...applying for jobs ...making friends irl ...getting a wife ...spending time with my family ...working out ...becoming a better man in general  From the time I spent in this game, I got... ...an extremely racist and homophobic vocabulary ...free Russian lessons ...anger management issues ...borderline autistic tendencies ...sleep deprivation  10/10 would never uninstall this game and correct my life  P.S. PLEASE for the love of all that is holy, practice in Deathmatch and Casual as well as perfect your cross-hair and mouse sensitivity before you jump into competitive. People will thank you for it.","1,895.9",21331564346,0,Recommended
2019-11-04 00:00:00,Underage Gambling,"8,154.3",180222395,0,Recommended
2023-07-15 00:00:00,>see a guy >hit every shot >run out of bullets >he turns around >kills me in one shot >damage dealt: 98 in 7 >exit cs:go  10/10,11.9,90537246,0,Recommended
2023-08-14 00:00:00,>aim at corner >wait for enemy >turn away for 0.00001 seconds >he comes >kills me in one shot >exit cs:go  5 Stars Rating,172.1,91832445,0,Recommended
2017-01-05 00:00:00,is game,"9,354.1",105544360,0,Recommended
2022-01-20 00:00:00,>see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10  ~Zi(K)e,"1,691.2",87440560,0,Recommended
2016-10-19 00:00:00,Where can I get the English version ?,"2,711.8",7334249450,0,Recommended
2020-11-02 00:00:00,"The time I spent playing this game could've been spent... ...studying ...applying for jobs ...making friends irl ...getting a wife ...spending time with my family ...working out ...becoming a better man in general  From the time I spent in this game, I got... ...an extremely racist and homophobic vocabulary ...free Russian lessons ...anger management issues ...borderline autistic tendencies ...sleep deprivation  10/10 would never uninstall this game and correct my life  P.S. PLEASE for the love of all that is holy, practice in Deathmatch and Casual as well as perfect your cross-hair and mouse sensitivity before you jump into competitive. People will thank you for it.","1,895.9",21331564346,0,Recommended
2019-11-04 00:00:00,Underage Gambling,"8,154.3",180222395,0,Recommended
2023-07-15 00:00:00,>see a guy >hit every shot >run out of bullets >he turns around >kills me in one shot >damage dealt: 98 in 7 >exit cs:go  10/10,11.9,90537246,0,Recommended
